csv,case_file,n_vehicles,case_portable_dwell_pass,case_portable_strict_like_pass,interface_modes,columns_used_all,forbidden_guidance_internal_terms_in_used_columns
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c033_hp336p292_vp0p794_combined.csv,b5c033_hp336p292_vp0p794_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c034_hp332p074_vm5p639_combined.csv,b5c034_hp332p074_vm5p639_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c035_hp132p429_vm3p567_combined.csv,b5c035_hp132p429_vm3p567_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c036_hp421p940_vm4p196_combined.csv,b5c036_hp421p940_vm4p196_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c037_hp344p441_vp2p572_combined.csv,b5c037_hp344p441_vp2p572_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c038_hp335p499_vm1p147_combined.csv,b5c038_hp335p499_vm1p147_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c039_hp377p603_vm0p371_combined.csv,b5c039_hp377p603_vm0p371_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c040_hp129p630_vm0p019_combined.csv,b5c040_hp129p630_vm0p019_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c041_hp343p214_vm7p616_combined.csv,b5c041_hp343p214_vm7p616_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c042_hp365p116_vp0p190_combined.csv,b5c042_hp365p116_vp0p190_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c043_hp452p043_vp0p481_combined.csv,b5c043_hp452p043_vp0p481_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c044_hp440p893_vm6p434_combined.csv,b5c044_hp440p893_vm6p434_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c045_hp67p020_vm0p134_combined.csv,b5c045_hp67p020_vm0p134_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c046_hp1p809_vm0p086_combined.csv,b5c046_hp1p809_vm0p086_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c047_hp52p723_vp6p654_combined.csv,b5c047_hp52p723_vp6p654_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c048_hp380p801_vm0p950_combined.csv,b5c048_hp380p801_vm0p950_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
store\data_saved\phase2_B5D_tight_local_envelope_validation\combined\b5c049_hp64p217_vp6p242_combined.csv,b5c049_hp64p217_vp6p242_combined.csv,3,True,True,terminal_error_columns,global_t;mis_id;taem_h_err;taem_s_go_err;taem_v_err,
