stage,case_id,n_vehicle_logs,case_strict_success,case_replayed_dwell_all,case_any_close_pass,inside_u3,delta_h0_m,delta_v0_mps
B5A,hz0m_vm50mps_sp2deg,3,False,False,False,,,-50.0
B5A,hz0m_vp10mps_sp2deg,3,True,True,False,,,10.0
B5A,hz0m_vp20mps_sp2deg,3,True,True,False,,,20.0
B5A,hz0m_vp30mps_sp2deg,3,False,False,True,,,30.0
B5A,hz0m_vp40mps_sp2deg,3,False,False,False,,,40.0
B5A,hz0m_vp50mps_sp2deg,3,False,False,True,,,50.0
B5A,hz0m_vz0mps_sp2deg,3,True,True,False,,,
B5A,mc000_hp273p956_vm23p667,1,False,False,False,False,273.956,-23.667
B5A,mc001_hp358p598_vm8p158,1,False,False,False,True,358.598,-8.158
B5A,mc002_hm405p823_vp8p537,1,False,False,False,False,-405.823,8.537
B5A,mc003_hp261p140_vm2p836,1,False,False,False,True,261.14,-2.836
B5A,mc004_hm371p886_vm22p977,1,False,False,False,False,-371.886,-22.977
B5A,mc005_hm129p202_vp5p606,1,False,False,False,False,-129.202,5.606
B5A,mc006_hp143p865_vm0p634,1,False,False,False,True,143.865,-0.634
B5A,mc007_hm56p586_vm36p366,1,False,False,False,False,-56.586,-36.366
B5A,mc008_hp54p585_vm46p171,1,False,False,False,False,54.585,-46.171
B5A,mc009_hp327p631_vm12p100,1,False,False,False,False,327.631,-12.1
B5A,mc010_hp258p088_vm28p728,1,False,False,False,False,258.088,-28.728
B5A,mc011_hp470p698_vp3p587,1,False,False,False,True,470.698,3.587
B5A,mc012_hp278p383_vm38p322,1,False,False,False,False,278.383,-38.322
B5A,mc013_hm33p279_vm47p372,1,False,False,False,False,-33.279,-47.372
B5A,mc014_hm345p711_vm9p017,1,False,False,False,False,-345.711,-9.017
B5A,mc015_hp244p762_vp8p051,1,False,False,False,True,244.762,8.051
B5A,mc016_hm174p175_vm27p772,1,False,False,False,False,-174.175,-27.772
B5A,mc017_hm30p444_vm38p632,1,False,False,False,False,-30.444,-38.632
B5A,mc018_hm370p078_vm21p458,1,False,False,False,False,-370.078,-21.458
B5A,mc019_hm273p091_vm9p811,1,False,False,False,False,-273.091,-9.811
B5A,mc020_hm62p848_vm0p039,1,False,False,False,False,-62.848,-0.039
B5A,mc021_hp200p265_vm31p258,1,False,False,False,False,200.265,-31.258
B5A,mc022_hp332p260_vm1p714,1,False,False,False,True,332.26,-1.714
B5A,mc023_hm112p522_vm32p700,1,False,False,False,False,-112.522,-32.7
B5A,mc024_hp182p496_vm41p615,1,False,False,False,False,182.496,-41.615
B5A,mc025_hm300p092_vm49p558,1,False,False,False,False,-300.092,-49.558
B5A,mc026_hp286p924_vm10p109,1,False,False,False,False,286.924,-10.109
B5A,mc027_hp205p165_vm3p156,1,False,False,False,True,205.165,-3.156
B5A,mc028_hm41p084_vm15p876,1,False,False,False,False,-41.084,-15.876
B5A,mc029_hm360p203_vm43p128,1,False,False,False,False,-360.203,-43.128
B5A,phase2_B1_by_vehicle,3,False,False,False,,,50.0
B5A,phase2_B5AR_failure_diagnosis_report,1,False,False,False,,,
B5A,phase2_B5AR_positive_velocity_combined_all,3,False,True,True,,,
