csv,vehicle_id,vehicle_sort,vehicle_role,event_time_s,abs_delta_psi_deg,abs_gamma_deg
b5c022_hp44p606_vm9p298_combined.csv,0,0,Vehicle~1,2144.4010000002045,0.22986279298800374,3.2765692010263456
b5c023_hp48p334_vp0p483_combined.csv,0,0,Vehicle~1,2138.0770000002044,0.2930085752710638,3.1521424060225254
b5c024_hp316p252_vm5p690_combined.csv,0,0,Vehicle~1,2141.305000000206,0.2630443464457453,3.215625048112752
b5c025_hp457p541_vm6p362_combined.csv,0,0,Vehicle~1,2141.960000000203,0.26451902199861255,3.2272333666684054
b5c026_hp216p564_vp2p798_combined.csv,0,0,Vehicle~1,2136.285000000205,0.3586903661105337,3.0797823232252535
b5c027_hp312p051_vm5p900_combined.csv,0,0,Vehicle~1,2141.475000000204,0.25887627890649595,3.227806577813527
b5c028_hp98p422_vm4p869_combined.csv,0,0,Vehicle~1,2141.026000000203,0.2683886342034631,3.2052984684937402
b5c029_hp283p266_vp6p772_combined.csv,0,0,Vehicle~1,2134.471000000204,0.4468097514862449,3.0300105627717526
b5c030_hp86p638_vm0p242_combined.csv,0,0,Vehicle~1,2138.671000000204,0.29373030264318034,3.1563718782487684
b5c031_hp110p319_vp5p597_combined.csv,0,0,Vehicle~1,2134.266000000204,0.3997112344588129,3.003934145514232
b5c032_hp197p674_vm6p911_combined.csv,0,0,Vehicle~1,2142.783000000205,0.2660256717929566,3.2412991790894363
b5c033_hp336p292_vp0p794_combined.csv,0,0,Vehicle~1,2137.4810000002053,0.32148343147502745,3.118022922830048
b5c034_hp332p074_vm5p639_combined.csv,0,0,Vehicle~1,2141.2510000002057,0.26328690348029127,3.21463301851892
b5c035_hp132p429_vm3p567_combined.csv,0,0,Vehicle~1,2140.2510000002053,0.2984846431091917,3.1731285199833077
b5c036_hp421p940_vm4p196_combined.csv,0,0,Vehicle~1,2140.270000000206,0.2949211575992324,3.177944680067512
b5c037_hp344p441_vp2p572_combined.csv,0,0,Vehicle~1,2136.239000000204,0.35779732888664656,3.082047227681861
b5c038_hp335p499_vm1p147_combined.csv,0,0,Vehicle~1,2138.949000000202,0.27997525063944645,3.1735408243724064
b5c039_hp377p603_vm0p371_combined.csv,0,0,Vehicle~1,2138.283000000204,0.3122843547133196,3.113226238543204
b5c040_hp129p630_vm0p019_combined.csv,0,0,Vehicle~1,2138.587000000205,0.3146043178820531,3.161519547770106
b5c041_hp343p214_vm7p616_combined.csv,0,0,Vehicle~1,2143.3390000002046,0.27604721044140007,3.226527085786216
b5c042_hp365p116_vp0p190_combined.csv,0,0,Vehicle~1,2137.986000000204,0.3224678838038168,3.142734362740057
b5c043_hp452p043_vp0p481_combined.csv,0,0,Vehicle~1,2137.550000000204,0.3205364748054241,3.1192842002017036
b5c044_hp440p893_vm6p434_combined.csv,0,0,Vehicle~1,2141.588000000204,0.2381537535656742,3.2291237456697717
b5c045_hp67p020_vm0p134_combined.csv,0,0,Vehicle~1,2138.482000000203,0.2824282732847484,3.1718175700835536
b5c046_hp1p809_vm0p086_combined.csv,0,0,Vehicle~1,2138.6910000002035,0.2925437067842709,3.157857553464552
